Campaign performance
1 January 2025 - 31 December 2025
Campaign,Campaign state,Campaign type,Clicks,Impr.,CTR,Currency code,Avg. CPC,Cost,Impr. (Abs. Top) %,Impr. (Top) %,Conversions,View-through conv.,Cost / conv.,Conv. rate
Abels|UK|Search|International|Israel,Paused,Search,0,0,0,GBP,0,0.00,0,0,0.00,0,0,0
Abels|UK|Search|International|Japan,Paused,Search,0,0,0,GBP,0,0.00,0,0,0.00,0,0,0
Abels|UK|Search|International|Kuwait,Paused,Search,0,0,0,GBP,0,0.00,0,0,0.00,0,0,0
Abels|UK|Search|International|Malaysia,Paused,Search,0,0,0,GBP,0,0.00,0,0,0.00,0,0,0
Abels|UK|Search|International|Netherlands,Paused,Search,0,0,0,GBP,0,0.00,0,0,0.00,0,0,0
Abels|UK|Search|International|New Zealand,Paused,Search,0,0,0,GBP,0,0.00,0,0,0.00,0,0,0
Abels|UK|Search|International|Norway,Paused,Search,0,0,0,GBP,0,0.00,0,0,0.00,0,0,0
Abels|UK|Search|International|Oman,Paused,Search,0,0,0,GBP,0,0.00,0,0,0.00,0,0,0
Abels|UK|Search|International|Qatar,Paused,Search,0,0,0,GBP,0,0.00,0,0,0.00,0,0,0
Abels|UK|Search|International|Singapore,Paused,Search,0,0,0,GBP,0,0.00,0,0,0.00,0,0,0
Abels|UK|Search|Intenational|Switzerland,Paused,Search,0,0,0,GBP,0,0.00,0,0,0.00,0,0,0
Abels|UK|Search|International|UAE,Paused,Search,0,0,0,GBP,0,0.00,0,0,0.00,0,0,0
International - USA,Paused,Search,0,0,0,GBP,0,0.00,0,0,0.00,0,0,0
International - Generic,Paused,Search,0,0,0,GBP,0,0.00,0,0,0.00,0,0,0
Domestic - Removals,Paused,Search,0,0,0,GBP,0,0.00,0,0,0.00,0,0,0
Domestic - DSA Dynamic,Paused,Search,0,0,0,GBP,0,0.00,0,0,0.00,0,0,0
MCM | Domestic | Performance Max | UK,Paused,Performance Max,0,0,0,GBP,0,0.00,0,0,0.00,0,0,0
MCM | International | Performance Max | UK,Paused,Performance Max,0,0,0,GBP,0,0.00,0,0,0.00,0,0,0
Domestic - Item,Paused,Search,0,0,0,GBP,0,0.00,0,0,0.00,0,0,0
Domestic - Removals (Premium Messaging),Paused,Search,0,0,0,GBP,0,0.00,0,0,0.00,0,0,0
Domestic - Competitors,Paused,Search,0,0,0,GBP,0,0.00,0,0,0.00,0,0,0
Domestic - Premium,Paused,Search,0,0,0,GBP,0,0.00,0,0,0.00,0,0,0
Domestic - Remarketing - Display,Paused,Display,0,0,0,GBP,0,0.00,0,0,0.00,0,0,0
Domestic - London Location,Paused,Search,0,0,0,GBP,0,0.00,0,0,0.00,0,0,0
International - Europe,Paused,Search,0,0,0,GBP,0,0.00,0,0,0.00,0,0,0
International - Europe - Location,Paused,Search,0,0,0,GBP,0,0.00,0,0,0.00,0,0,0
International | Further Afield | Location,Paused,Search,0,0,0,GBP,0,0.00,0,0,0.00,0,0,0
PMax: Domestic - DSA Dynamic,Paused,Performance Max,0,0,0,GBP,0,0.00,0,0,0.00,0,0,0
Domestic - Regional,Paused,Search,0,0,0,GBP,0,0.00,0,0,0.00,0,0,0
PMAX - International Removals,Paused,Performance Max,0,0,0,GBP,0,0.00,0,0,0.00,0,0,0
Search European Moves Audience Signal A/B Test,Paused,Search,0,0,0,GBP,0,0.00,0,0,0.00,0,0,0
JDR Search | London,Enabled,Search,0,0,0,GBP,0,0.00,0,0,0.00,0,0,0
JDR Search | Domestic (Removals & Packing),Enabled,Search,0,0,0,GBP,0,0.00,0,0,0.00,0,0,0
JDR Search | Europe (Outbound),Enabled,Search,0,0,0,GBP,0,0.00,0,0,0.00,0,0,0
JDR Search | International (High CPC Markets - Outbound),Enabled,Search,0,0,0,GBP,0,0.00,0,0,0.00,0,0,0
JDR Search | Europe (Inbound),Paused,Search,0,0,0,GBP,0,0.00,0,0,0.00,0,0,0
JDR Search | International (Inbound),Paused,Search,0,0,0,GBP,0,0.00,0,0,0.00,0,0,0
JDR Search | International (High CPC Markets - Inbound),Paused,Search,0,0,0,GBP,0,0.00,0,0,0.00,0,0,0
JDR Search | International (Outbound),Paused,Search,0,0,0,GBP,0,0.00,0,0,0.00,0,0,0
JDR Search | Domestic (Premium & Storage),Paused,Search,0,0,0,GBP,0,0.00,0,0,0.00,0,0,0
JDR Search | Brand,Enabled,Search,0,0,0,GBP,0,0.00,0,0,0.00,0,0,0
